%1COND-HTR-04624(PV)	1COND-HTR-04624(SP)	1COND-HTR-04624(C)	1COND-HTR-04657
0.723057151	0	85.22940063	73.23007965
0.683647513	0	85.58957672	73.27174377
0.619905651	0	85.56871796	73.3134079
0.556163788	0	85.54785156	73.35507965
0.492421925	0	85.52698517	73.39674377
0.428680062	0	85.5061264	73.4384079
0.34471035	0	85.07836914	73.48007965
0.255683661	0	84.54888916	73.52174377
0.166656971	0	84.01940918	73.5634079
0.077630281	0	83.4899292	73.60507965
-0.011396408	0	82.96044922	73.64674377
-0.100423098	0	82.43096924	73.6884079
-0.181434631	0	81.82756805	73.62572479
-0.250423431	0	81.11328125	73.49347687
-0.319412231	0	80.39899445	73.36122894
-0.357727349	0	79.87980652	73.22898102
-0.375593334	0	79.49068451	73.09673309
-0.39345932	0	79.1015625	72.96447754
-0.411325306	0	78.71244049	72.83222961
-0.429191291	0	78.32331848	72.69998169
-0.460820973	0	77.72229767	72.56773376
-0.513096213	0	76.80344391	72.43547821
-0.565371454	0	75.88459015	72.30323029
-0.617646635	0	74.96572876	72.17098236
-0.669921875	0	74.046875	70.57968903
-0.777550817	0	72.54157257	68.74951172
-0.794189453	0	71.75068665	65.89672852
-0.750167847	0	71.43606567	64.45429993
-0.70614624	0	71.12145233	64.1263504
-0.662124634	0	70.80683899	63.98888397
-0.618103027	0	70.49221802	63.85141373
-0.574081421	0	70.17760468	63.71394348
-0.538137138	0	69.86299133	63.57647324
-0.534502327	0	69.54837036	63.43900299
-0.530867457	0	69.23375702	63.30153275
-0.527232587	0	68.91914368	63.1640625
-0.523597717	0	68.60452271	62.75111771
-0.519962847	0	68.28990936	62.3381691
-0.446579814	0	68.60823822	62.02708054
-0.326697975	0	69.348526	62.12342072
-0.206816152	0	70.08881378	62.21976471
-0.086934328	0	70.82910156	62.31610489
0.032947499	0	71.56938934	62.41244888
0.137409106	0	72.30967712	62.50878906
0.238015667	0	73.0499649	62.60512924
0.338622212	0	73.93283081	62.70147324
0.439228773	0	75.02954865	62.79781342
0.539835334	0	76.12627411	62.89415741
0.640441895	0	77.22299957	62.99049759
0.713480651	0	78.31971741	63.86080551
0.779159546	0	79.41644287	64.92460632
0.81539917	0	80.51316071	65.98841095
0.851638794	0	81.60988617	67.58939362
0.887878418	0	82.706604	69.32466888
0.904566407	0	83.63296509	70.82801819
0.843047738	0	83.87789154	71.40364838
0.781529129	0	84.12281036	71.97927856
0.720010519	0	84.36773682	72.55490112
0.65849191	0	84.61265564	72.80323029
0.59697324	0	84.78794861	72.83335876
0.535454631	0	84.68470764	72.86347961
0.473935992	0	84.5814743	72.89360809
0.412417382	0	84.47823334	72.92372894
0.350898743	0	84.375	72.95384979
0.26671648	0	83.79179382	72.98397827
0.182534188	0	83.20858002	73.01409912
0.098351911	0	82.62537384	73.0442276
0.014169635	0	82.04216766	73.07434845
-0.070012644	0	81.45895386	73.10447693
-0.154194921	0	80.87574768	73.13459778
-0.22320357	0	80.2925415	72.99463654
-0.269451797	0	79.7093277	72.81215668
-0.315700024	0	79.12612152	72.62966919
-0.361948252	0	78.54290771	72.44718933
-0.408196479	0	77.95970154	72.26470947
-0.454444706	0	77.37649536	72.08222198
-0.500692964	0	76.79328156	71.89974213
-0.546941161	0	76.01593018	71.71725464
-0.593189418	0	74.94736481	71.53477478
-0.647634506	0	73.87880707	71.35228729
-0.734867096	0	72.8102417	69.09960938
-0.764603555	0	72.02470398	67.18310547
-0.756009281	0	71.42784882	65.99902344
-0.747415006	0	70.83099365	65.10791016
-0.731610358	0	70.33978271	64.21679688
-0.686964512	0	70.27111053	64.07479095
-0.642318606	0	70.20244598	63.93278122
-0.597672701	0	70.1337738	63.79077148
-0.553026855	0	70.06510162	63.64876175
-0.508380949	0	69.99643707	63.50675583
-0.463735074	0	69.92776489	63.36474609
-0.419089168	0	69.85909271	63.22273636
-0.374443293	0	69.79042816	62.85742188
