%PumpFlow        PumpHead
2430    857.32
2531.5  850.1
2579.7  845.75
2791.6  829.04
2513.9  853.38
2406.4  858.64
2583.6  846.47
2642.2  840.79
2677.2  837.34
2641.8  841.19
2612.4  845.42
2630.7  844.83
2621.2  844.5
2613.3  843.71
2704.9  835.63
2692.1  837.37
2740.9  832.44
2692    838.51
2727.4  833.25
2778.5  829.98
2715.7  833.2
2623.3  842.97
2669.9  840.9
2668.1  838.97
2654.9  840.37
2603.8  844.49
2659.5  838.8
2653.9  841.39
2720.7  834.59
2689.6  837.11
2666.4  841.36
2639.4  840.15
2671.8  840.12
2632.7  844.15
2674.9  838.68
2732.5  832.79
2645.7  843.07
2642.7  840.68
2826.8  824.89
2730.3  832.89
2874.1  821.69
2638.3  842.19
2653.8  841.27
2347.9  863.18
2468.1  857.07
2595.1  846.04
2502.7  852.87
2485    854.26
2417.8  858.37
2521.9  851.65
2654.9  840.26
2473.2  855.15
2816.9  828.95
2840.4  822.76
2693.6  836.45
2872.9  820.89
2587    845.76
2619.6  843.22
2583.5  844.03
2491    854.34
2578.2  845.65
2562.1  848.69
2537.2  850.8
2695.7  837.76
2526    850.83
2575.2  846.28
2635.8  842.69
2678.3  839.68
2624.4  841.95
2650.1  839.2
2689.6  836.44
2654.1  839.91
2655.8  842.13
2659.3  837.34
2741.6  832.59
2752.9  831.45
2697.9  836.23
2527.7  850.19
2660    839.14
2657.4  841.65
2411.9  859.74
2580.1  846
2683.9  837.37
2386.3  860.32
2692.6  838
2512.6  852.01
2528.4  851.12
2578.2  846.34
2606.7  843.7
2692.5  838.44
2687.3  837.53
2594.6  846.67
2554.5  849.3
2487.4  853.17
2636.3  843.48
2504.2  852.88
2645.4  842.15
2689.7  836.66
2672.1  838.95
2665.5  839.99
2587.9  846.38
2592.9  845.7
2685.1  837.01
2729.7  834.73
2675.1  838.16
2787.9  827.79
2680.2  838.01
2721.2  835.58
2704.2  836.98
2639.1  841.4
2607.3  844.76
2642.7  841.14
2683.5  837.01
2630.8  842.32
2638.8  842.85
2617.3  843.99
2679.6  838.46
2680.4  840.16
2546.6  848.14
2488.3  853.32
2444.1  856.24
2426.8  856.88
2462.3  857.04
2583.1  848.01
2598.4  844.91
2656.5  838.63
2715.2  836.69
2701.6  835.69
2601.2  846.19
2528.1  852.03
2595.4  845.57
2613.3  842.3
2598.1  845.43
2610.7  844.84
2633.9  844.22
2640.9  841.51
2724.1  834.38
2733.8  834.4
2651.5  840.89
2505.2  853.32
2459.4  857.52
2452.9  856.53
2392.7  861.73
2659.1  840.56
2485.1  853.96
2610.1  844.92
2349.2  862.91
2388.6  861.79
2511.5  852.02
2588.3  846.66
2560.2  846.31
2528.9  851.69
2673.8  837.96
2584.6  845.54
2555.7  849.05
2536.9  851.48
2458.1  857.25
2617.5  843.7
2534.3  851.64
2556.4  850.94
2639.1  841.24
2423.9  858.28
2654.1  839.5
2609.9  843.89
2642.2  840.82
2750.7  830.97
2630.4  844.27
2432.2  858.96
2549.1  848.28
2508.5  852.31
2554.7  850.27
2466.3  855.83
2552.5  850.37
2574.9  845.62
2559.7  848.84
2536.7  850.83
2557.5  847.85
2568.1  849.36
2520    852.02
2631    840.42
2627.4  841.51
2581.6  847.94
2540.1  850.01
2548.8  850.52
2543.7  849.6
2566.3  848.37
2537.2  848.81
2537.3  849.65
2609.8  844.06
2570.3  848.74
2651    840.45
2651.8  840.97
2574.7  847.27
2548.1  848.71
2515.9  852.99
2442.3  858.61
2624.1  843.5
2642.7  842.21
2647.7  841.92
2592.7  844.53
2512.8  853.32
2557.5  846.64
2575.8  846.16
2634.7  841.73
2556.9  849.06
2515.9  852.17
2494    852.89
2624.5  841.84
2447    857.43
2487.9  853.28
2579.9  847.44
2584.3  847
2563.9  849.36
2625    842.03
2550.2  848.42
2511.1  852.56
2854.6  820.73
2829.7  823.68
2400.4  859.99
2535    850.09
2682.7  838.92
2688.6  836.93
2426.6  858.8
2448.4  856.17
