"%""Heat"	and	Mass	Transfer	"Experiment"""						
"%""Data"	"file"""									
"%""The"	time	is	"15:10:06.59."""							
"%""The"	date	is	"8-30-2005."""							
"%""Sec."	" Volts"""	Volts	Volts	Deg C	Deg C	Deg C	Deg C	kg/h	kg/h	kg/h
"%""Time"	 Cold	 Hot	" Total"""	T1   	T2   	T4   	T5   	Cold	Hot	Total
46	2.77	2.98	2.8	18.55	46.87	40.89	33.09	297.5603008		
48	2.78	2.97	2.85	18.36	47.06	41.43	32.73	298.0946643		
50	2.78	3.02	2.82	18.55	46.87	39.8	33.64	298.0946643		
52	2.83	2.91	2.79	18.55	46.87	39.8	33.09	300.7521807		
54	2.8	3.01	2.97	18.36	47.06	41.07	33.27	299.1605157		
56	2.8	3.02	2.85	18.36	46.87	40.53	33.82	299.1605157		
58	2.8	3.05	2.81	18.73	46.87	41.07	33.27	299.1605157		
60	2.81	3.06	2.89	18.17	47.06	40.53	33.45	299.6920139		
62	2.8	3.02	2.79	18.55	46.87	40.53	34.18	299.1605157		
64	2.79	3.03	2.82	17.8	47.24	40.89	32.55	298.6280675		
66	2.78	3.05	2.86	17.99	47.06	41.98	33.09	298.0946643		
68	2.78	2.96	2.74	18.55	46.87	39.8	34	298.0946643		
70	2.78	2.95	2.82	17.8	47.24	39.44	32.73	298.0946643		
72	2.78	2.98	2.85	17.99	47.24	41.61	32.73	298.0946643		
74	2.75	2.93	2.67	17.99	47.24	39.98	33.27	296.4886723		
76	2.75	2.98	2.72	17.8	47.24	41.43	33.27	296.4886723		
78	2.77	2.97	2.76	17.8	47.24	39.98	32.55	297.5603008		
80	2.76	2.99	2.79	18.17	47.06	41.61	33.45	297.0249719		
82	2.78	3.01	2.96	17.8	47.24	40.71	33.09	298.0946643		
84	2.81	2.81	2.77	18.73	46.69	41.98	33.09	299.6920139		
86	2.8	3.01	2.86	18.36	46.87	41.07	33.45	299.1605157		
88	2.77	2.96	2.72	17.99	47.06	40.35	33.45	297.5603008		
90	2.64	2.9	2.94	18.73	46.69	40.35	33.27	290.5237611		
92	2.72	2.97	2.73	18.55	46.87	40.71	32.91	294.8738963		
94	2.79	2.99	2.9	18.55	46.87	40.16	33.82	298.6280675		
96	2.75	2.75	2.66	18.36	46.69	40.16	33.64	296.4886723		
98	2.79	2.95	2.79	17.8	47.06	41.43	32.73	298.6280675		
100	2.82	2.88	2.73	18.36	46.87	41.8	32.91	300.2225672		
102	2.74	3.01	2.83	18.36	46.69	39.98	33.45	295.9513968		
104	2.73	3.01	2.89	17.8	47.24	40.71	33.64	295.4131399		
106	2.79	3	2.8	18.17	46.87	40.16	33.09	298.6280675		
108	2.78	3.01	3	17.8	47.06	40.71	32.91	298.0946643		
110	2.8	2.96	2.89	17.8	47.06	40.71	33.45	299.1605157		
112	2.81	2.99	2.92	18.36	46.87	40.71	34	299.6920139		
114	2.84	2.98	2.85	17.8	47.06	41.07	32.37	301.2808593		
116	2.81	3.05	2.78	17.8	47.24	41.07	33.09	299.6920139		
118	2.86	3.06	2.92	18.17	47.06	40.53	33.27	302.3354315		
120	2.84	3.08	2.97	17.8	47.06	40.89	32.91	301.2808593		
122	2.82	3.05	2.77	17.62	47.24	39.98	32.37	300.2225672		
124	2.83	3.06	2.82	17.99	46.87	39.98	33.45	300.7521807		
126	2.8	2.94	2.71	17.8	47.06	40.71	33.27	299.1605157		
128	2.8	2.99	2.81	18.55	46.69	40.16	32.73	299.1605157		
130	2.77	3	2.85	18.36	46.87	39.26	33.09	297.5603008		
132	2.81	2.93	2.53	18.17	47.06	39.62	33.27	299.6920139		
134	2.77	2.96	2.88	18.55	46.69	41.8	33.27	297.5603008		
136	2.8	2.81	2.82	18.73	46.69	40.71	32.73	299.1605157		
138	2.78	2.98	2.75	18.36	46.87	40.71	34	298.0946643		
140	2.74	2.95	2.81	18.36	46.69	39.62	33.64	295.9513968		
142	2.78	3.01	2.6	18.55	46.69	40.71	32.73	298.0946643		
144	2.8	2.9	2.82	18.36	46.87	40.53	33.27	299.1605157		
146	2.78	2.95	2.9	18.55	46.69	40.35	34	298.0946643		
148	2.76	3.01	2.7	17.8	47.06	41.07	32.55	297.0249719		
150	2.76	2.95	2.93	18.17	46.87	40.53	32.73	297.0249719		
152	2.75	2.99	2.77	18.36	47.06	41.25	33.27	296.4886723		
154	2.7	2.87	2.83	17.62	47.24	41.25	32.91	293.7924271		
156	2.77	2.95	2.8	18.17	47.06	40.35	32.73	297.5603008		
158	2.75	2.93	2.84	17.8	47.06	40.53	33.27	296.4886723		
160	2.77	2.95	2.78	17.8	47.24	39.8	33.27	297.5603008		
162	2.78	2.97	2.9	17.99	46.87	39.44	32.73	298.0946643		
164	2.83	3.05	2.9	17.8	47.06	40.35	33.09	300.7521807		
166	2.82	3.02	2.84	17.8	47.24	40.89	33.64	300.2225672		
168	2.78	2.95	2.87	18.17	46.87	40.35	32.55	298.0946643		
170	2.79	3.08	2.7	17.99	47.06	40.35	33.27	298.6280675		
172	2.77	3.04	2.85	18.55	46.69	40.53	33.64	297.5603008		
174	2.81	3	2.83	18.36	46.69	41.07	32.55	299.6920139		
176	2.75	2.94	2.86	17.99	46.87	39.98	32.37	296.4886723		
178	2.8	2.98	2.85	18.36	46.69	39.44	33.82	299.1605157		
180	2.78	3	2.9	18.73	46.69	39.98	33.27	298.0946643		
182	2.78	3	2.94	18.17	46.87	40.16	33.45	298.0946643		
